Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,67,321.6,58498,2570.162134
Four-Door Car,Premium,Offer1,Employed,Married,College,2,116,556.8,30845,41103.24183
Four-Door Car,Basic,Offer1,Medical Leave,Married,High School or Below,1,66,475.2,26854,2576.455597
Two-Door Car,Extended,Offer1,Unemployed,Married,College,2,77,509.100577,0,8709.321889
Sports Car,Basic,Offer1,Unemployed,Single,High School or Below,4,106,508.8,0,7413.386729
Four-Door Car,Basic,Offer2,Disabled,Married,Bachelor,2,73,424.330166,23815,8257.666512
Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,64,209.596158,55257,2469.56901
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,65,156.18031,94392,5206.108215
SUV,Basic,Offer1,Unemployed,Divorced,High School or Below,1,103,642.773149,0,3664.22055
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,70,336,34236,5509.377781
Sports Car,Basic,Offer1,Employed,Single,College,5,117,310.651386,55542,9206.429641
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,69,159.383042,62902,8256.2978
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3,61,239.540223,73769,4838.208972
Four-Door Car,Basic,Offer1,Employed,Single,Master,3,69,107.985836,74960,5507.155471
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,7,78,374.4,52018,5971.313496
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,3,67,251.795869,65978,5394.703229
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,63,302.4,84495,2542.06388
Four-Door Car,Extended,Offer2,Unemployed,Single,Bachelor,1,87,760.428495,0,3189.66703
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,8,72,463.158502,81676,5773.520711
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,7,63,307.080113,30735,5032.386371
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,3,98,99.697769,95701,7659.499583
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,80,47.061469,62815,3196.578455
SUV,Basic,Offer3,Employed,Married,College,2,117,561.6,39018,14014.10119
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,3,63,302.4,43460,5065.935608
SUV,Extended,Offer1,Unemployed,Divorced,Bachelor,2,139,667.2,0,14635.45158
Two-Door Car,Extended,Offer1,Unemployed,Married,College,3,92,441.6,0,6940.972823
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1,68,436.411688,0,2416.479564
SUV,Basic,Offer1,Employed,Married,High School or Below,3,104,499.2,36881,8267.119555
Two-Door Car,Basic,Offer1,Employed,Married,College,1,73,67.490616,96137,2902.151897
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,1,71,395.328407,91368,2864.544017
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,5,73,548.333667,26975,5809.261551
Four-Door Car,Extended,Offer3,Employed,Divorced,College,3,99,475.2,43630,7908.669486
Four-Door Car,Extended,Offer4,Retired,Married,College,1,96,666.724937,17557,3700.385003
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,9,61,365.312072,29809,4802.477033
Two-Door Car,Extended,Offer2,Employed,Married,College,5,93,7.345946,70263,7462.926263
Two-Door Car,Extended,Offer2,Retired,Married,Master,2,85,574.024018,19614,16301.9676
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1,71,50.422181,25317,2829.863912
Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,8,65,731.289267,0,4741.808942
Four-Door Car,Basic,Offer2,Employed,Married,College,5,74,199.444294,27880,5867.12642
Four-Door Car,Basic,Offer1,Employed,Married,College,8,66,160.855921,31756,5237.935672
Two-Door Car,Premium,Offer1,Employed,Divorced,College,1,109,344.294164,81412,4347.591949
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1,94,483.881752,0,3028.780121
Four-Door Car,Basic,Offer3,Employed,Single,College,4,61,292.8,26277,4720.608872
Four-Door Car,Basic,Offer1,Disabled,Divorced,Bachelor,1,63,352.394515,19864,2359.423599
Four-Door Car,Basic,Offer3,Disabled,Married,Master,1,62,15.616535,22732,2445.844833
Four-Door Car,Basic,Offer2,Employed,Married,College,1,71,407.668083,33252,2839.808041
SUV,Premium,Offer1,Unemployed,Single,High School or Below,1,168,1476.670903,0,6021.842473
Four-Door Car,Basic,Offer2,Retired,Divorced,College,2,66,316.8,25251,11790.49617
Four-Door Car,Basic,Offer3,Employed,Married,College,1,74,97.928632,80590,2981.549197
Four-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,1,91,436.8,0,3382.223536
SUV,Basic,Offer3,Employed,Married,College,3,110,128.645946,90125,8861.149536
SUV,Basic,Offer1,Employed,Single,Master,5,112,561.499579,39910,8935.03414
Four-Door Car,Extended,Offer4,Employed,Married,College,7,85,408,56398,6701.571657
Two-Door Car,Extended,Offer2,Employed,Divorced,College,1,82,277.795988,68103,3244.816567
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,3,65,6.07744,65375,5214.971007
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,5,72,37.28874,70717,5807.994569
Luxury Car,Basic,Offer3,Employed,Married,High School or Below,5,192,1382.4,48115,15362.35442
Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1,63,617.201984,0,2195.911185
SUV,Basic,Offer1,Unemployed,Single,Master,1,100,480,0,3649.708655
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,67,284.000172,71391,8044.872393
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,73,350.4,94132,26538.57925
SUV,Basic,Offer1,Disabled,Married,High School or Below,2,113,542.4,18495,26197.41498
Two-Door Car,Basic,Offer4,Employed,Married,Doctor,1,67,321.6,74592,2727.520769
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,3,81,109.032565,89285,6496.197101
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,2,65,312,0,21423.63723
Four-Door Car,Extended,Offer1,Unemployed,Single,College,2,77,369.6,0,7628.749434
Four-Door Car,Basic,Offer3,Employed,Divorced,College,2,72,141.725051,71592,8742.05776
Luxury Car,Basic,Offer2,Unemployed,Married,College,1,199,955.2,0,6191.402312
Sports Car,Basic,Offer1,Unemployed,Single,College,3,108,777.6,0,7276.340609
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,99,882.871945,60021,3939.00637
SUV,Basic,Offer1,Retired,Single,Bachelor,2,119,571.2,23909,21569.33731
SUV,Basic,Offer2,Employed,Married,High School or Below,1,107,513.6,77265,4277.27009
Two-Door Car,Basic,Offer2,Unemployed,Married,College,1,67,222.903462,0,2467.97792
SUV,Extended,Offer1,Employed,Married,Bachelor,1,131,280.903779,68558,5313.436344
Two-Door Car,Extended,Offer4,Medical Leave,Married,College,2,86,412.8,28519,13113.13865
Sports Car,Basic,Offer2,Unemployed,Divorced,Master,6,108,518.4,0,8139.996817
Four-Door Car,Basic,Offer4,Employed,Divorced,Doctor,1,67,52.804096,82108,2691.217074
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3,68,326.4,0,4566.123651
Two-Door Car,Basic,Offer1,Unemployed,Divorced,College,2,73,350.4,0,17497.52201
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,6,94,287.149807,47406,7421.593541
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,6,61,167.889924,28264,4624.557568
Two-Door Car,Extended,Offer1,Disabled,Married,High School or Below,6,84,451.670309,22081,6503.397049
Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1,73,525.6,0,2557.094323
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,2,64,324.695555,0,7046.478698
SUV,Basic,Offer2,Employed,Married,College,5,116,556.8,37937,9095.049868
SUV,Extended,Offer1,Employed,Married,High School or Below,3,136,323.637414,58518,10899.30177
Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,2,82,206.95076,78374,16331.43396
Four-Door Car,Basic,Offer1,Disabled,Married,College,1,62,297.6,25064,2357.747015
Four-Door Car,Basic,Offer1,Employed,Single,College,1,62,244.269407,31617,2347.048112
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1,65,455.644704,0,2388.949198
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7,61,292.8,0,4250.282624
Sports Car,Premium,Offer1,Employed,Married,Bachelor,2,199,842.000858,46268,23675.02939
Four-Door Car,Basic,Offer4,Employed,Married,Doctor,1,66,84.218363,72450,2678.058299
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,5,62,374.240783,52275,4982.681374
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,63,173.899238,87802,2448.811216
SUV,Premium,Offer2,Employed,Married,High School or Below,2,145,181.501424,66245,17367.27409
Two-Door Car,Extended,Offer4,Employed,Married,College,1,76,99.382943,68205,3034.646997
Two-Door Car,Basic,Offer4,Disabled,Married,Bachelor,2,68,76.026046,24133,7583.189638
Four-Door Car,Extended,Offer3,Unemployed,Single,Bachelor,7,80,576,0,5272.319663
Two-Door Car,Premium,Offer2,Employed,Single,High School or Below,1,110,528,32471,4220.613534
Four-Door Car,Basic,Offer2,Employed,Married,College,1,72,518.4,28919,2846.24535
SUV,Extended,Offer2,Employed,Married,Bachelor,1,138,702.990032,54507,5470.060561
Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,4,102,489.6,75531,8054.982035
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,65,9.51528,40864,2567.151468
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1,78,374.4,48056,3129.110699
Four-Door Car,Extended,Offer3,Employed,Single,Bachelor,2,89,392.604371,61222,10388.55323
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1,70,522.41314,0,2510.593651
SUV,Basic,Offer3,Employed,Married,Bachelor,1,117,561.6,50250,4633.452912
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,71,340.8,26790,2810.464447
Two-Door Car,Premium,Offer3,Retired,Divorced,High School or Below,1,108,773.470977,19782,4001.519098
Sports Car,Basic,Offer2,Medical Leave,Married,College,9,116,556.8,28280,8759.592518
Four-Door Car,Basic,Offer3,Disabled,Married,High School or Below,3,65,312,25572,4893.979609
SUV,Extended,Offer2,Employed,Single,Bachelor,1,130,624,48567,5015.009472
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,64,201.455005,76731,2582.408525
Four-Door Car,Basic,Offer2,Employed,Married,College,1,68,202.938048,63401,2730.3538
SUV,Extended,Offer1,Employed,Married,College,9,134,611.918994,45732,10677.25385
Four-Door Car,Basic,Offer2,Employed,Married,College,9,74,73.919629,61006,5953.213546
Luxury SUV,Premium,Offer1,Unemployed,Single,High School or Below,1,275,1980,0,9350.872287
Four-Door Car,Basic,Offer2,Medical Leave,Single,High School or Below,4,73,350.4,12430,5169.49937
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,9,72,345.6,36088,5528.212807
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,71,200.38673,42297,2783.583044
SUV,Basic,Offer1,Retired,Divorced,Bachelor,2,115,828,14973,12168.74492
Four-Door Car,Premium,Offer3,Employed,Married,College,1,105,77.479316,42512,4049.807215
Four-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,3,74,355.2,39188,5897.745369
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,4,92,4.216231,62338,7326.544855
Four-Door Car,Basic,Offer4,Medical Leave,Married,College,3,71,340.8,21594,5206.761563
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,3,86,175.972039,56188,6552.399896
Two-Door Car,Premium,Offer2,Medical Leave,Divorced,College,2,115,552,12439,12624.96121
SUV,Basic,Offer1,Unemployed,Married,College,3,104,638.414994,0,7607.001877
Four-Door Car,Basic,Offer1,Employed,Married,College,2,62,128.969729,37256,9816.528302
Four-Door Car,Basic,Offer2,Employed,Single,College,1,69,300.056383,37876,2647.519741
Sports Car,Basic,Offer4,Employed,Married,High School or Below,2,103,494.4,43244,12231.87968
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,68,489.6,0,6944.739992
SUV,Basic,Offer3,Employed,Married,College,5,108,379.951464,65933,8675.993821
Four-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,3,88,539.280951,0,6625.472768
Two-Door Car,Basic,Offer1,Medical Leave,Married,Master,2,65,56.371967,20832,22855.61209
Four-Door Car,Extended,Offer4,Unemployed,Married,College,8,81,390.161912,0,5907.151868
SUV,Extended,Offer2,Employed,Married,Doctor,1,125,600,57709,5073.282126
SUV,Premium,Offer1,Employed,Married,College,3,170,592.85751,39017,13306.18451
SUV,Extended,Offer1,Medical Leave,Married,Bachelor,5,139,667.2,17269,10442.65139
SUV,Basic,Offer1,Employed,Divorced,College,3,104,499.2,32799,8169.746083
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,6,95,185.355353,96306,7519.133631
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,4,85,408,84869,6883.686618
Four-Door Car,Extended,Offer2,Medical Leave,Divorced,Bachelor,1,89,427.2,25236,3449.494119
Four-Door Car,Basic,Offer4,Employed,Married,College,1,67,236.842746,38166,2602.24525
Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,6,78,374.4,0,5800.772699
SUV,Basic,Offer3,Employed,Married,Bachelor,9,101,484.8,25595,8058.659713
Four-Door Car,Basic,Offer3,Employed,Divorced,Doctor,1,74,406.439436,27907,2860.747385
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,66,475.2,0,9904.977027
Sports Car,Extended,Offer2,Employed,Married,College,1,136,57.712985,66429,5389.499465
Two-Door Car,Basic,Offer1,Medical Leave,Single,College,4,65,362.774545,12964,4770.550911
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,65,200.177163,64543,7824.492263
SUV,Extended,Offer3,Unemployed,Married,College,6,134,643.2,0,9575.357152
SUV,Basic,Offer2,Employed,Married,College,1,112,536.481665,70088,4462.445111
SUV,Basic,Offer3,Employed,Single,Bachelor,2,100,480,22139,14947.9173
SUV,Basic,Offer2,Employed,Single,High School or Below,1,100,25.713622,92539,3940.123576
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,5,62,80.73124,86305,4984.618655
Sports Car,Extended,Offer1,Employed,Single,College,2,137,192.085299,90330,36057.53702
Luxury Car,Basic,Offer1,Unemployed,Single,Bachelor,2,182,1310.4,0,18361.55525
SUV,Basic,Offer3,Unemployed,Married,Bachelor,1,104,748.8,0,3792.829528
Four-Door Car,Basic,Offer4,Unemployed,Married,Master,1,71,340.8,0,2676.948677
Four-Door Car,Basic,Offer2,Employed,Single,Master,2,70,48.304125,99241,22325.82746
Sports Car,Basic,Offer2,Employed,Married,College,4,109,400.181882,62464,8658.863813
SUV,Basic,Offer3,Employed,Divorced,Master,2,115,372.175592,90279,13955.56961
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3,66,202.961374,32630,5230.092742
Four-Door Car,Extended,Offer1,Unemployed,Single,College,2,78,561.6,0,14455.86021
Four-Door Car,Extended,Offer2,Employed,Married,College,1,96,138.423414,76375,3838.113442
Four-Door Car,Extended,Offer2,Employed,Divorced,Master,2,94,265.216633,71366,15162.06565
Four-Door Car,Extended,Offer1,Unemployed,Married,Master,1,99,378.261483,0,3687.169374
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,92,641.388616,39679,3652.532435
SUV,Basic,Offer2,Employed,Married,High School or Below,1,108,256.893746,91775,4369.595738
SUV,Basic,Offer3,Employed,Single,High School or Below,2,116,122.017931,62634,13776.74135
SUV,Basic,Offer1,Employed,Single,Bachelor,2,108,244.803741,88249,13094.60875
Two-Door Car,Extended,Offer4,Employed,Divorced,College,1,76,444.027215,77912,3011.766294
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,7,84,599.000883,56980,6689.022728
Two-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,2,66,470.691875,0,6829.413399
Four-Door Car,Basic,Offer3,Employed,Married,College,1,64,26.731452,69446,2570.190941
Two-Door Car,Extended,Offer2,Employed,Single,High School or Below,7,83,398.4,34498,6369.262355
SUV,Extended,Offer1,Disabled,Married,Bachelor,3,137,392.920864,13207,9939.255085
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,6,72,471.443077,74015,5555.830205
Four-Door Car,Basic,Offer4,Employed,Married,College,8,70,215.728468,35011,5552.331515
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1,71,340.8,0,2681.332102
SUV,Basic,Offer1,Employed,Married,College,3,102,369.614729,50825,8092.87696
SUV,Basic,Offer1,Unemployed,Married,College,3,107,513.6,0,8002.308333
Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,5,72,61.536107,99747,5687.897911
Four-Door Car,Extended,Offer3,Employed,Divorced,Bachelor,1,92,441.6,87485,3694.14876
Four-Door Car,Premium,Offer2,Disabled,Divorced,Doctor,2,101,303.148399,15897,15363.84716
Four-Door Car,Basic,Offer1,Retired,Divorced,High School or Below,1,65,572.072106,22283,2397.036098
Four-Door Car,Premium,Offer1,Disabled,Divorced,Bachelor,2,101,484.8,11885,11315.20373
Four-Door Car,Basic,Offer1,Employed,Married,College,3,74,2.173552,55393,5903.612641
SUV,Extended,Offer3,Employed,Married,Bachelor,2,139,49.566591,89030,16775.80883
Four-Door Car,Extended,Offer3,Unemployed,Married,High School or Below,5,78,410.409376,0,5709.225202
Sports Car,Basic,Offer1,Employed,Married,College,5,103,37.802583,96689,8272.330818
Two-Door Car,Basic,Offer2,Disabled,Married,High School or Below,2,71,340.8,17950,8066.073765
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,6,67,321.6,25134,5318.89664
Two-Door Car,Basic,Offer1,Unemployed,Single,College,2,68,489.6,0,6826.797741
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,3,94,402.74168,91071,7648.25947
Two-Door Car,Basic,Offer3,Disabled,Married,Bachelor,2,63,453.6,27627,14594.45235
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,7,61,292.8,50549,4745.181764
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3,71,340.8,74454,5595.389905
Two-Door Car,Basic,Offer4,Disabled,Married,Doctor,2,67,68.019973,14119,22712.02364
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,67,2.028223,26094,2619.865336
Sports Car,Extended,Offer3,Employed,Single,College,1,124,209.176923,45225,4787.812897
Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,8,98,470.4,35257,7556.24034
Two-Door Car,Premium,Offer1,Employed,Married,Master,2,119,109.906628,60880,14435.67365
Two-Door Car,Extended,Offer2,Retired,Married,Master,2,85,574.024018,19614,16301.9676
Sports Car,Basic,Offer2,Employed,Married,High School or Below,9,107,178.006524,95697,8564.768226
SUV,Premium,Offer1,Employed,Married,High School or Below,9,162,1166.4,58684,13055.57087
SUV,Basic,Offer1,Employed,Divorced,Bachelor,7,111,226.9684,34133,8834.322784
Two-Door Car,Basic,Offer3,Medical Leave,Married,College,2,74,296.049396,16370,8467.267232
Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,5,66,420.39344,0,4877.61238
SUV,Premium,Offer3,Employed,Single,College,3,173,830.4,28919,13350.1209
Four-Door Car,Basic,Offer2,Employed,Married,College,1,72,345.6,80714,2918.576189
SUV,Basic,Offer2,Unemployed,Single,High School or Below,2,115,1251.042795,0,29297.33082
Four-Door Car,Basic,Offer1,Unemployed,Married,College,6,70,469.491537,0,5161.789881
Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2,69,566.673518,0,20579.69157
Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,9,96,460.8,0,6778.84457
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1,78,126.857228,31841,3102.998522
Four-Door Car,Premium,Offer2,Unemployed,Single,High School or Below,2,113,813.6,0,12324.2654
SUV,Basic,Offer1,Disabled,Married,High School or Below,2,113,542.4,18495,26197.41498
Four-Door Car,Basic,Offer2,Employed,Divorced,College,6,61,8.315904,30886,4754.653816
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,1,65,625.483498,0,2258.793954
SUV,Basic,Offer4,Employed,Married,College,2,117,561.6,67627,14002.37819
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,College,2,68,326.4,21708,17930.60451
Two-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2,96,844.481918,0,23706.11337
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1,74,355.2,37803,2914.955295
Two-Door Car,Basic,Offer3,Disabled,Married,Bachelor,1,71,34.651305,19003,2612.756658
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3,62,722.432062,0,4422.409799
Luxury SUV,Basic,Offer3,Employed,Married,College,1,199,35.768916,77577,7910.866718
Two-Door Car,Extended,Offer3,Employed,Single,College,5,98,243.292609,62192,7684.887717
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1,111,60.036683,63774,4376.363592
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2,86,58.469264,55906,10346.11154
SUV,Premium,Offer1,Employed,Married,Bachelor,2,140,65.022258,59414,16589.71237
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,67,24.843535,73692,24338.51185
Four-Door Car,Basic,Offer2,Employed,Married,College,1,69,330.782934,45191,2745.249838
Four-Door Car,Basic,Offer2,Unemployed,Divorced,High School or Below,2,67,445.702958,0,7633.821822
Two-Door Car,Basic,Offer4,Employed,Married,College,7,65,206.01822,61417,5143.878519
Two-Door Car,Basic,Offer1,Employed,Single,College,1,72,345.6,39783,2794.907476
Two-Door Car,Basic,Offer1,Medical Leave,Single,College,4,65,362.774545,12964,4770.550911
Four-Door Car,Premium,Offer2,Employed,Divorced,Master,1,106,688.547375,51510,4200.373728
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,1,63,302.4,29444,2480.529264
Four-Door Car,Basic,Offer1,Employed,Single,College,6,71,430.163277,51737,5598.00838
Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,62,244.212286,93383,2480.045899
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,5,68,234.393625,74561,5427.484591
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2,65,468,0,6220.765007
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,65,45.152521,32303,7694.064293
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1,73,350.4,0,2585.444463
Two-Door Car,Premium,Offer1,Unemployed,Married,Bachelor,6,110,550.825934,0,8087.219475
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,1,98,470.4,42589,3848.483648
Four-Door Car,Basic,Offer2,Medical Leave,Married,Bachelor,1,73,34.708194,13393,2869.301319
Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1,66,316.8,0,2004.350666
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2,61,16.214764,35230,9638.066778
Two-Door Car,Basic,Offer4,Medical Leave,Married,High School or Below,2,70,336,20978,13569.24071
SUV,Basic,Offer1,Unemployed,Married,High School or Below,8,113,619.973889,0,8470.036773
Four-Door Car,Premium,Offer1,Employed,Married,College,2,104,240.176533,88184,12174.58958
SUV,Basic,Offer2,Employed,Married,College,1,114,183.978738,63597,4425.749642
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4,68,326.4,43054,5418.463878
Sports Car,Extended,Offer1,Unemployed,Single,High School or Below,2,130,1430.548077,0,13104.14911
Two-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2,72,151.843731,97768,8692.636838
SUV,Basic,Offer1,Retired,Single,High School or Below,1,101,694.598288,25147,3600.934326
Sports Car,Extended,Offer1,Employed,Married,Bachelor,5,139,387.222556,69090,11085.87709
Two-Door Car,Extended,Offer2,Unemployed,Married,College,8,86,412.8,0,6032.737631
Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,8,93,377.422029,98235,7446.812516
Four-Door Car,Extended,Offer1,Employed,Married,College,1,85,541.093963,52782,3259.885006
Four-Door Car,Extended,Offer1,Unemployed,Single,College,9,77,369.6,0,5521.542577
SUV,Extended,Offer2,Employed,Married,Doctor,3,133,229.930796,36495,10629.21789
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1,67,482.4,0,2414.770722
Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,65,312,27839,2363.295991
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,8,68,42.078345,70051,5395.831967
SUV,Extended,Offer2,Employed,Married,Bachelor,8,124,257.502471,32245,9800.33636
SUV,Extended,Offer1,Unemployed,Married,College,7,124,473.469932,0,8728.456239
Four-Door Car,Basic,Offer1,Employed,Married,College,9,72,171.166733,55419,5838.133617
Four-Door Car,Extended,Offer3,Unemployed,Divorced,High School or Below,3,87,417.6,0,6326.679236
Two-Door Car,Basic,Offer1,Employed,Single,Doctor,3,64,380.917107,77025,5104.354719
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,6,61,47.53101,37057,4719.762191
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,66,316.8,60798,2609.533154
Four-Door Car,Extended,Offer3,Unemployed,Single,College,1,82,590.4,0,2938.07856
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,77,369.6,65083,3059.282091
Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1,73,350.4,0,2710.149379
SUV,Basic,Offer1,Employed,Married,College,2,102,123.491865,33760,11944.40399
Two-Door Car,Basic,Offer1,Unemployed,Divorced,College,2,67,321.6,0,7296.493236
Four-Door Car,Basic,Offer3,Employed,Divorced,College,7,71,340.8,35398,5563.771927
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,9,71,373.047039,96917,5736.45893
SUV,Basic,Offer2,Employed,Married,High School or Below,2,100,635.020091,31433,32021.40422
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,91,655.2,28013,3591.996064
Four-Door Car,Extended,Offer4,Employed,Single,High School or Below,3,99,240.977382,70610,7950.570995
Two-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,2,95,579.452318,0,10377.36842
Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,7,61,292.8,16764,4617.391775
SUV,Basic,Offer2,Employed,Married,Bachelor,1,118,134.801691,83413,4743.694528
Four-Door Car,Basic,Offer1,Unemployed,Married,College,7,70,336,0,5181.054467
Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1,61,292.8,82225,2446.664534
SUV,Extended,Offer3,Employed,Married,College,8,137,61.915326,71656,10914.20446
Four-Door Car,Basic,Offer3,Employed,Divorced,College,2,64,91.391245,39815,7492.055949
Four-Door Car,Extended,Offer1,Unemployed,Married,College,4,84,403.2,0,5926.957452
Two-Door Car,Basic,Offer1,Disabled,Married,College,2,63,302.4,24245,7079.790277
Four-Door Car,Basic,Offer1,Disabled,Married,College,3,66,316.8,20181,4792.509792
SUV,Basic,Offer2,Employed,Married,Master,1,104,5.894778,62113,4178.586494
Four-Door Car,Extended,Offer3,Medical Leave,Single,Master,1,84,871.505797,19464,3086.873854
Four-Door Car,Extended,Offer2,Employed,Married,College,1,76,178.839506,35205,2967.670797
Sports Car,Basic,Offer3,Employed,Married,Bachelor,6,109,505.082702,35456,8545.608946
Four-Door Car,Basic,Offer4,Retired,Divorced,Master,1,66,316.8,24182,2398.740007
SUV,Basic,Offer3,Employed,Married,Bachelor,1,105,632.244063,74057,4202.663699
Two-Door Car,Basic,Offer1,Medical Leave,Single,College,4,65,362.774545,12964,4770.550911
